,平台,作者,级别,发布链接
717,深圳BIM促进会,张健明,地市级,http://www.szbim.com/portal/article/2624
828,广东门户网,吕昊临,省部级,http://www.xiaoxunet.cn/2024/111865342.html
829,广东生活网,吕昊临,省部级,http://www.bigkuan.cn/news/202411/1865343.html
1083,中企经济网,邓讷,中央级,http://www.zhongzq.vip/html/3-154/154803.htm
18,人民论坛网,邓讷,中央级,http://www.rmlt.com.cn/2024/0206/694931.shtml
222,海西晨报,王亚坤、陈展红,省部级,http://dzb.sunnews.cn/html/2024-04/01/content_820398.htm?div=-1
1094,中国产业新闻,王亚坤,中央级,http://www.xinyuecheng88.cn/xinwen/gundong/2024102311642.html
234,头条新闻网,赵琥珀,省部级,http://www.dadovw.cn/article/202403/12227227.html
1326,广州城市网,沈芳霞,地市级,http://www.chuizhixian.cn/2024/111565288.html
75,海口网,邓讷,地市级,http://www.hkwb.net/news/content/2024-01/23/content_4267258.htm
847,广东之声,吕昊临,省部级,http://www.gd.jlrxw.cn/news/202411513304.html
851,华南理工大学,杨少波,省部级,http://news.scut.edu.cn/2024/1211/c41a56571/page.htm
647,新华报业江南时报网,吕昊临,省部级,http://www.jntimes.cn/xxzx/202401/t20240116_8192655.shtml
133,焦点中国网,赵琥珀,中央级,http://news.cnlehuo.com.cn/c22/MTIxMjEwOTQ=.html
446,广东羊城网,"安琼
宋耀明",省部级,http://cnycw.cn/f37f/70cd10605625.html
1095,中国报道,王亚坤,中央级,http://www.heiniqiu.cn/html/20241078152.html
445,广东网,"安琼
宋耀明",省部级,http://gd.nezhucheng.cn/da63/ea5b10605452.html
156,广东信息网,欧阳琳,省部级,http://gd.cnsprb.cn/49657/8da62483770.html
3222,海西晨报,文承聪,省部级,http://dzb.sunnews.cn/html/2024-07/02/content_822737.htm?div=-1
176,广东网,王聪,省部级,http://gd.nezhucheng.cn/da63/ea5b12606382.html
867,广东在线,蔡雯静,省部级,http://gdzaixian.com.cn/9db4b/3d0f133114296.html
431,广东网,崔国玉,省部级,http://gd.nezhucheng.cn/da63/ea5b10526286.html
436,广东羊城网,宋耀明,省部级,http://cnycw.cn/f37f/70cd10541898.html
149,广东网,安琼,省部级,http://gd.nezhucheng.cn/da63/ea5b12490069.html
442,深圳在线,安琼,省部级,http://sz.gdzaixian.com.cn/1c4c/6a0342286508.html
